name	url
benthiavalicarb	http://www.bcpcpesticidecompendium.org/benthiavalicarb.html
benthiazole	http://www.bcpcpesticidecompendium.org/benthiazole.html
benthiocarb	http://www.bcpcpesticidecompendium.org/thiobencarb.html
bentioflumin	http://www.bcpcpesticidecompendium.org/bentioflumin.html
bentranil	http://www.bcpcpesticidecompendium.org/bentranil.html
benzadox	http://www.bcpcpesticidecompendium.org/benzadox.html
benzalkonium chloride	http://www.bcpcpesticidecompendium.org/benzalkonium%20chloride.html
benzamacril	http://www.bcpcpesticidecompendium.org/benzamacril.html
benzamorf	http://www.bcpcpesticidecompendium.org/benzamorf.html
benzene hexachloride	http://www.bcpcpesticidecompendium.org/hch.html
benzfendizone	http://www.bcpcpesticidecompendium.org/benzfendizone.html
benzimine	http://www.bcpcpesticidecompendium.org/hexamide.html
benzipram	http://www.bcpcpesticidecompendium.org/benzipram.html
benzobicyclon	http://www.bcpcpesticidecompendium.org/benzobicyclon.html
benzoepin	http://www.bcpcpesticidecompendium.org/endosulfan.html
benzofenap	http://www.bcpcpesticidecompendium.org/benzofenap.html
benzofluor	http://www.bcpcpesticidecompendium.org/benzofluor.html
benzohydroxamic acid	http://www.bcpcpesticidecompendium.org/benzohydroxamic%20acid.html
benzomate	http://www.bcpcpesticidecompendium.org/benzoximate.html
benzophosphate	http://www.bcpcpesticidecompendium.org/phosalone.html
benzothiadiazole	http://www.bcpcpesticidecompendium.org/derivatives/acibenzolar-s-methyl.html
benzovindiflupyr	http://www.bcpcpesticidecompendium.org/benzovindiflupyr.html
benzoximate	http://www.bcpcpesticidecompendium.org/benzoximate.html
benzoylprop	http://www.bcpcpesticidecompendium.org/benzoylprop.html
benzpyrimoxan	http://www.bcpcpesticidecompendium.org/benzpyrimoxan.html
benzthiazuron	http://www.bcpcpesticidecompendium.org/benzthiazuron.html
benzuocaotong	http://www.bcpcpesticidecompendium.org/topramezone.html
benzyladenine	http://www.bcpcpesticidecompendium.org/benzyladenine.html
benzyl benzoate	http://www.bcpcpesticidecompendium.org/benzyl%20benzoate.html
berberine	http://www.bcpcpesticidecompendium.org/berberine.html
beta-cyfluthrin	http://www.bcpcpesticidecompendium.org/beta-cyfluthrin.html
beta-cypermethrin	http://www.bcpcpesticidecompendium.org/beta-cypermethrin.html
β-sitosterin	http://www.bcpcpesticidecompendium.org/b-sitosterol.html
beta-sitosterol	http://www.bcpcpesticidecompendium.org/b-sitosterol.html
β-sitosterol	http://www.bcpcpesticidecompendium.org/b-sitosterol.html
bethoxazin	http://www.bcpcpesticidecompendium.org/bethoxazin.html
BHC	http://www.bcpcpesticidecompendium.org/hch.html
gamma-BHC	http://www.bcpcpesticidecompendium.org/gamma-hch.html
bialaphos	http://www.bcpcpesticidecompendium.org/bilanafos.html
bicyclopyrone	http://www.bcpcpesticidecompendium.org/bicyclopyrone.html
bifemetstrobin	http://www.bcpcpesticidecompendium.org/bifemetstrobin.html
bifenazate	http://www.bcpcpesticidecompendium.org/bifenazate.html
bifenox	http://www.bcpcpesticidecompendium.org/bifenox.html
bifenthrin	http://www.bcpcpesticidecompendium.org/bifenthrin.html
kappa-bifenthrin	http://www.bcpcpesticidecompendium.org/kappa-bifenthrin.html
